fecha_captura,Equipo,GF,GC
2026-08-20,Independiente Rivadavia,34,21
2026-08-20,Argentinos Juniors,27,20
2026-08-20,Vélez Sarsfield,25,15
2026-08-20,Rosario Central,25,19
2026-08-20,Estudiantes (LP),26,12
2026-08-20,Boca Juniors,27,16
2026-08-20,Belgrano [n. 1],23,15
2026-08-20,Gimnasia y Esgrima (LP),25,26
2026-08-20,Independiente,30,23
2026-08-20,Instituto,22,19
2026-08-20,River Plate,24,16
2026-08-20,Lanús,24,21
2026-08-20,Barracas Central,18,18
2026-08-20,Huracán,21,17
2026-08-20,Talleres (C),23,23
2026-08-20,Tigre,22,17
2026-08-20,San Lorenzo,16,18
2026-08-20,Sarmiento (J),23,28
2026-08-20,Gimnasia y Esgrima (M),20,25
2026-08-20,Defensa y Justicia,24,28
2026-08-20,Unión,29,28
2026-08-20,Racing Club,21,22
2026-08-20,Banfield,21,24
2026-08-20,Atlético Tucumán,19,22
2026-08-20,Newell's Old Boys,21,32
2026-08-20,Central Córdoba (SdE),14,26
2026-08-20,Platense,15,24
2026-08-20,Deportivo Riestra,11,17
2026-08-20,Aldosivi,9,25
2026-08-20,Estudiantes (RC),7,30
