fecha_captura,Equipo,GF,GC
2026-07-20,Palmeiras,30,13
2026-07-20,Flamengo,31,16
2026-07-20,Fluminense,29,24
2026-07-20,Bragantino,26,20
2026-07-20,Athletico Paranaense,24,18
2026-07-20,Bahia,27,23
2026-07-20,Coritiba,24,24
2026-07-20,São Paulo,23,20
2026-07-20,Botafogo,33,32
2026-07-20,Vitória,22,25
2026-07-20,Atlético Mineiro,22,23
2026-07-20,Corinthians,18,19
2026-07-20,Cruzeiro,24,28
2026-07-20,Internacional,21,22
2026-07-20,Santos,27,31
2026-07-20,Grêmio,21,25
2026-07-20,Vasco da Gama,22,30
2026-07-20,Mirassol,20,25
2026-07-20,Remo,21,29
2026-07-20,Chapecoense,17,35
