fecha_captura,torneo,#,Jugador,Equipo,G,A,Part.
2026-08-20,Brasileirao 2026,1,Kevin Viveros,Athletico Paranaense,14,,22
2026-08-20,Brasileirao 2026,2,Pedro Guilherme Abreu dos Santos,Flamengo,14,,22
2026-08-20,Brasileirao 2026,3,Carlos Vinícius,Grêmio,10,,21
2026-08-20,Brasileirao 2026,4,John Kennedy,Fluminense,9,,18
2026-08-20,Brasileirao 2026,5,Gabriel Barbosa,Santos,8,,15
2026-08-20,Brasileirao 2026,6,Breno Henrique Vasconcelos Lopes,Coritiba,8,,20
2026-08-20,Brasileirao 2026,7,Danilo dos Santos de Oliveira,Botafogo,7,,16
2026-08-20,Brasileirao 2026,8,Arthur Cabral,Botafogo,7,,19
2026-08-20,Brasileirao 2026,9,Luciano Juba,Bahia,7,,19
2026-08-20,Brasileirao 2026,10,Jonathan Calleri,São Paulo,7,,20
