fecha_captura,torneo,Pos.,Equipo,Pts.,PJ,G,E,P,GF,GC,Dif.,Clasificación 2027,Zona
2026-09-25,Brasileirao 2026,1,Flamengo,60,28,18,6,4,55,23,+32,Fase de grupos de la Copa Libertadores,Libertadores/Champions
2026-09-25,Brasileirao 2026,2,Palmeiras,57,28,16,9,3,47,21,+26,Fase de grupos de la Copa Libertadores,Libertadores/Champions
2026-09-25,Brasileirao 2026,3,Athletico Paranaense,49,28,14,7,7,43,32,+11,Fase de grupos de la Copa Libertadores,Libertadores/Champions
2026-09-25,Brasileirao 2026,4,Fluminense,48,28,13,9,6,44,36,+8,Fase de grupos de la Copa Libertadores,Libertadores/Champions
2026-09-25,Brasileirao 2026,5,Bahia,46,28,12,10,6,43,35,+8,Segunda ronda clasificatoria de la Copa Libertadores,Internacional
2026-09-25,Brasileirao 2026,6,Cruzeiro,45,28,13,6,9,42,40,+2,Fase de grupos de la Copa Sudamericana,Internacional
2026-09-25,Brasileirao 2026,7,Atlético Mineiro,40,27,11,7,9,36,32,+4,Fase de grupos de la Copa Sudamericana,Zona media
2026-09-25,Brasileirao 2026,8,Santos,38,27,10,8,9,41,40,+1,Fase de grupos de la Copa Sudamericana,Zona media
2026-09-25,Brasileirao 2026,9,Coritiba,38,28,10,8,10,37,43,−6,Fase de grupos de la Copa Sudamericana,Zona media
2026-09-25,Brasileirao 2026,10,Bragantino,36,27,10,6,11,33,31,+2,Fase de grupos de la Copa Sudamericana,Zona media
2026-09-25,Brasileirao 2026,11,São Paulo,36,27,10,6,11,32,30,+2,Fase de grupos de la Copa Sudamericana,Zona media
2026-09-25,Brasileirao 2026,12,Botafogo,35,28,9,8,11,41,45,−4,,Zona media
2026-09-25,Brasileirao 2026,13,Vitória,33,28,9,6,13,28,42,−14,,Zona media
2026-09-25,Brasileirao 2026,14,Corinthians,32,28,8,8,12,29,32,−3,,Zona media
2026-09-25,Brasileirao 2026,15,Mirassol,32,28,8,8,12,33,42,−9,,Zona media
2026-09-25,Brasileirao 2026,16,Vasco da Gama,31,27,8,7,12,34,41,−7,,Zona media
2026-09-25,Brasileirao 2026,17,Grêmio,29,28,7,8,13,30,38,−8,Descenso a la Brasileirão Superbet,Zona media
2026-09-25,Brasileirao 2026,18,Internacional,28,28,6,10,12,30,36,−6,Descenso a la Brasileirão Superbet,Zona media
2026-09-25,Brasileirao 2026,19,Remo,23,28,5,8,15,32,47,−15,Descenso a la Brasileirão Superbet,Descenso
2026-09-25,Brasileirao 2026,20,Chapecoense,18,27,3,9,15,29,53,−24,Descenso a la Brasileirão Superbet,Descenso
