fecha_captura,torneo,Pos.,Equipo,Pts.,PJ,G,E,P,GF,GC,Dif.,Clasificación 2026-27,Zona
2026-06-18,Bundesliga 2025-26,1,Bayern de Múnich (C),89,34,28,5,1,122,36,+86,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-18,Bundesliga 2025-26,2,Borussia Dortmund,73,34,22,7,5,70,34,+36,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-18,Bundesliga 2025-26,3,RB Leipzig,65,34,20,5,9,66,47,+19,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-18,Bundesliga 2025-26,4,Stuttgart,62,34,18,8,8,71,49,+22,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-18,Bundesliga 2025-26,5,Hoffenheim,61,34,18,7,9,65,52,+13,Fase de liga de la Liga Europa[a],Internacional
2026-06-18,Bundesliga 2025-26,6,Bayer Leverkusen,59,34,17,8,9,68,47,+21,Fase de liga de la Liga Europa[a],Internacional
2026-06-18,Bundesliga 2025-26,7,Friburgo,47,34,13,8,13,51,57,−6,Ronda de play-off de la Liga Conferencia,Zona media
2026-06-18,Bundesliga 2025-26,8,Eintracht Fráncfort,44,34,11,11,12,61,65,−4,,Zona media
2026-06-18,Bundesliga 2025-26,9,Augsburgo,43,34,12,7,15,45,61,−16,,Zona media
2026-06-18,Bundesliga 2025-26,10,Mainz 05,40,34,10,10,14,44,53,−9,,Zona media
2026-06-18,Bundesliga 2025-26,11,Unión Berlín,39,34,10,9,15,44,58,−14,,Zona media
2026-06-18,Bundesliga 2025-26,12,Borussia Mönchengladbach,38,34,9,11,14,42,53,−11,,Zona media
2026-06-18,Bundesliga 2025-26,13,Hamburgo,38,34,9,11,14,40,54,−14,,Zona media
2026-06-18,Bundesliga 2025-26,14,Colonia,32,34,7,11,16,49,63,−14,,Zona media
2026-06-18,Bundesliga 2025-26,15,Werder Bremen,32,34,8,8,18,37,60,−23,,Zona media
2026-06-18,Bundesliga 2025-26,16,Wolfsburgo (D),29,34,7,8,19,45,69,−24,Play-offs de promoción de categoría,Zona media
2026-06-18,Bundesliga 2025-26,17,Heidenheim (D),26,34,6,8,20,41,72,−31,Descenso a la 2. Bundesliga,Descenso
2026-06-18,Bundesliga 2025-26,18,San Pauli (D),26,34,6,8,20,29,60,−31,Descenso a la 2. Bundesliga,Descenso
