fecha_captura,torneo,#,Jugador,Equipo,G,A
2026-07-26,Liga de Primera 2026,1,Fernando Zampedri,Universidad Católica,17,2
2026-07-26,Liga de Primera 2026,2,Daniel Castro,Deportes Limache,9,5
2026-07-26,Liga de Primera 2026,3,Justo Giani,Universidad Católica,8,3
2026-07-26,Liga de Primera 2026,4,Javier Correa,Colo-Colo,8,2
2026-07-26,Liga de Primera 2026,5,Sebastián Sáez,Unión La Calera,8,1
2026-07-26,Liga de Primera 2026,6,Nelson Da Silva,Palestino,7,2
2026-07-26,Liga de Primera 2026,7,Lionel Altamirano,Huachipato,7,1
2026-07-26,Liga de Primera 2026,8,Steffan Pino,Cobresal,7,0
2026-07-26,Liga de Primera 2026,9,Jean Meneses,Deportes Limache,5,8
2026-07-26,Liga de Primera 2026,10,Jeisson Vargas,Deportes La Serena,5,6
2026-07-26,Liga de Primera 2026,11,Francisco González,O'Higgins,5,4
2026-07-26,Liga de Primera 2026,12,Maximiliano Romero,Colo-Colo,5,1
2026-07-26,Liga de Primera 2026,13,Eduardo Vargas,Universidad de Chile,5,1
2026-07-26,Liga de Primera 2026,14,Nicolás Johansen,Coquimbo Unido,5,0
2026-07-26,Liga de Primera 2026,15,Kevin Méndez,Unión La Calera,4,6
2026-07-26,Liga de Primera 2026,16,Leonardo Valencia,Deportes Concepción,4,2
2026-07-26,Liga de Primera 2026,17,Julián Brea,Cobresal,4,1
2026-07-26,Liga de Primera 2026,18,Thiago Vecino,O'Higgins,4,1
2026-07-26,Liga de Primera 2026,19,Felipe Chamorro,Deportes La Serena,4,0
2026-07-26,Liga de Primera 2026,20,Gonzalo Sosa,Deportes Limache,4,0
2026-07-26,Liga de Primera 2026,21,Ignacio Jeraldino,Ñublense,4,0
2026-07-26,Liga de Primera 2026,22,Clemente Montes,Universidad Católica,3,4
2026-07-26,Liga de Primera 2026,23,Diego Rubio,Deportes La Serena,3,3
2026-07-26,Liga de Primera 2026,24,Giovani Chiaverano,Audax Italiano,3,2
2026-07-26,Liga de Primera 2026,25,Lautaro Pastrán,Colo-Colo,3,2
2026-07-26,Liga de Primera 2026,26,Alan Medina,Everton,3,1
2026-07-26,Liga de Primera 2026,27,Lucas Soto,Everton,3,1
2026-07-26,Liga de Primera 2026,28,Cris Martínez,Huachipato,3,1
2026-07-26,Liga de Primera 2026,29,Cecilio Waterman,Universidad de Concepción,3,1
2026-07-26,Liga de Primera 2026,30,Franco Troyansky,Audax Italiano,3,0
2026-07-26,Liga de Primera 2026,31,Diego Coelho,Audax Italiano,3,0
2026-07-26,Liga de Primera 2026,32,Álvaro Madrid,Colo-Colo,3,0
2026-07-26,Liga de Primera 2026,33,Alejandro Camargo,Coquimbo Unido,3,0
2026-07-26,Liga de Primera 2026,34,Vicente Álvarez,Deportes Limache,3,0
2026-07-26,Liga de Primera 2026,35,Cristian Palacios,Everton,3,0
2026-07-26,Liga de Primera 2026,36,Maximiliano Gutiérrez,Huachipato,3,0
2026-07-26,Liga de Primera 2026,37,Franco Rami,Ñublense,3,0
2026-07-26,Liga de Primera 2026,38,Arnaldo Castillo,O'Higgins,3,0
2026-07-26,Liga de Primera 2026,39,Matías Palavecino,Universidad Católica,2,5
2026-07-26,Liga de Primera 2026,40,Claudio Aquino,Colo-Colo,2,3
2026-07-26,Liga de Primera 2026,41,Leandro Hernández,Colo-Colo,2,3
2026-07-26,Liga de Primera 2026,42,Maximiliano Rodríguez,Huachipato,2,3
2026-07-26,Liga de Primera 2026,43,Cristián Zavala,Coquimbo Unido,2,2
2026-07-26,Liga de Primera 2026,44,Mario Briceño,Huachipato,2,2
2026-07-26,Liga de Primera 2026,45,Gabriel Graciani,Ñublense,2,2
2026-07-26,Liga de Primera 2026,46,César Munder,Palestino,2,2
2026-07-26,Liga de Primera 2026,47,Maximiliano Guerrero,Universidad de Chile,2,2
2026-07-26,Liga de Primera 2026,48,Víctor Méndez,Colo-Colo,2,1
2026-07-26,Liga de Primera 2026,49,Jeyson Rojas,Colo-Colo,2,1
2026-07-26,Liga de Primera 2026,50,Alejandro Azócar,Coquimbo Unido,2,1
2026-07-26,Liga de Primera 2026,51,Gonzalo Figueroa,Deportes La Serena,2,1
2026-07-26,Liga de Primera 2026,52,Yerko González,Deportes Limache,2,1
2026-07-26,Liga de Primera 2026,53,Martín Sarrafiore,O'Higgins,2,1
2026-07-26,Liga de Primera 2026,54,Bryan Carrasco,Palestino,2,1
2026-07-26,Liga de Primera 2026,55,Agustín Nadruz,Cobresal,2,0
2026-07-26,Liga de Primera 2026,56,Franco Frías,Cobresal,2,0
2026-07-26,Liga de Primera 2026,57,Jorge Henríquez,Deportes Concepción,2,0
2026-07-26,Liga de Primera 2026,58,Ignacio Mesías,Deportes Concepción,2,0
2026-07-26,Liga de Primera 2026,59,Nicolás Stefanelli,Deportes La Serena,2,0
2026-07-26,Liga de Primera 2026,60,Gonzalo Escalante,Deportes La Serena,2,0
2026-07-26,Liga de Primera 2026,61,Matías Marín,Deportes La Serena,2,0
2026-07-26,Liga de Primera 2026,62,Nicolás Montiel,Everton,2,0
2026-07-26,Liga de Primera 2026,63,Diego Sanhueza,Ñublense,2,0
2026-07-26,Liga de Primera 2026,64,Francisco Montes,Palestino,2,0
2026-07-26,Liga de Primera 2026,65,Gonzalo Tapia,Palestino,2,0
2026-07-26,Liga de Primera 2026,66,Matías Campos López,Unión La Calera,2,0
2026-07-26,Liga de Primera 2026,67,Rodrigo Cáseres,Unión La Calera,2,0
2026-07-26,Liga de Primera 2026,68,Javier Altamirano,Universidad de Chile,2,0
2026-07-26,Liga de Primera 2026,69,Nicolás Ramírez,Universidad de Chile,2,0
2026-07-26,Liga de Primera 2026,70,Luis Rojas,Universidad de Concepción,2,0
2026-07-26,Liga de Primera 2026,71,Jeison Fuentealba,Universidad de Concepción,2,0
2026-07-26,Liga de Primera 2026,72,Bryan Carvallo,Cobresal,1,5
2026-07-26,Liga de Primera 2026,73,Cristián Cuevas,Universidad Católica,1,5
2026-07-26,Liga de Primera 2026,74,Esteban Matus,Audax Italiano,1,3
2026-07-26,Liga de Primera 2026,75,Luis Riveros,Coquimbo Unido,1,3
2026-07-26,Liga de Primera 2026,76,Julián Fernández,Palestino,1,3
2026-07-26,Liga de Primera 2026,77,Guillermo Pacheco,Cobresal,1,2
2026-07-26,Liga de Primera 2026,78,Marcos Arturia,Deportes Limache,1,2
2026-07-26,Liga de Primera 2026,79,Braian Martínez,Everton,1,2
2026-07-26,Liga de Primera 2026,80,Maicol León,Huachipato,1,2
2026-07-26,Liga de Primera 2026,81,Guillermo Guaiquil,Huachipato,1,2
2026-07-26,Liga de Primera 2026,82,Bryan Rabello,O'Higgins,1,2
2026-07-26,Liga de Primera 2026,83,Ian Garguez,Palestino,1,2
2026-07-26,Liga de Primera 2026,84,Jimmy Martínez,Universidad Católica,1,2
2026-07-26,Liga de Primera 2026,85,Diego Corral,Universidad Católica,1,2
2026-07-26,Liga de Primera 2026,86,Fabián Hormazábal,Universidad de Chile,1,2
2026-07-26,Liga de Primera 2026,87,Agustín Urzi,Universidad de Concepción,1,2
2026-07-26,Liga de Primera 2026,88,Federico Mateos,Audax Italiano,1,1
2026-07-26,Liga de Primera 2026,89,Benjamín Valenzuela,Cobresal,1,1
