fecha_captura,Equipo,GF,GC
2026-06-07,Bayern de Múnich (C),122,36
2026-06-07,Borussia Dortmund,70,34
2026-06-07,RB Leipzig,66,47
2026-06-07,Stuttgart,71,49
2026-06-07,Hoffenheim,65,52
2026-06-07,Bayer Leverkusen,68,47
2026-06-07,Friburgo,51,57
2026-06-07,Eintracht Fráncfort,61,65
2026-06-07,Augsburgo,45,61
2026-06-07,Mainz 05,44,53
2026-06-07,Unión Berlín,44,58
2026-06-07,Borussia Mönchengladbach,42,53
2026-06-07,Hamburgo,40,54
2026-06-07,Colonia,49,63
2026-06-07,Werder Bremen,37,60
2026-06-07,Wolfsburgo (D),45,69
2026-06-07,Heidenheim (D),41,72
2026-06-07,San Pauli (D),29,60
2026-06-08,Bayern de Múnich (C),122,36
2026-06-08,Borussia Dortmund,70,34
2026-06-08,RB Leipzig,66,47
2026-06-08,Stuttgart,71,49
2026-06-08,Hoffenheim,65,52
2026-06-08,Bayer Leverkusen,68,47
2026-06-08,Friburgo,51,57
2026-06-08,Eintracht Fráncfort,61,65
2026-06-08,Augsburgo,45,61
2026-06-08,Mainz 05,44,53
2026-06-08,Unión Berlín,44,58
2026-06-08,Borussia Mönchengladbach,42,53
2026-06-08,Hamburgo,40,54
2026-06-08,Colonia,49,63
2026-06-08,Werder Bremen,37,60
2026-06-08,Wolfsburgo (D),45,69
2026-06-08,Heidenheim (D),41,72
2026-06-08,San Pauli (D),29,60
2026-06-09,Bayern de Múnich (C),122,36
2026-06-09,Borussia Dortmund,70,34
2026-06-09,RB Leipzig,66,47
2026-06-09,Stuttgart,71,49
2026-06-09,Hoffenheim,65,52
2026-06-09,Bayer Leverkusen,68,47
2026-06-09,Friburgo,51,57
2026-06-09,Eintracht Fráncfort,61,65
2026-06-09,Augsburgo,45,61
2026-06-09,Mainz 05,44,53
2026-06-09,Unión Berlín,44,58
2026-06-09,Borussia Mönchengladbach,42,53
2026-06-09,Hamburgo,40,54
2026-06-09,Colonia,49,63
2026-06-09,Werder Bremen,37,60
2026-06-09,Wolfsburgo (D),45,69
2026-06-09,Heidenheim (D),41,72
2026-06-09,San Pauli (D),29,60
2026-06-10,Bayern de Múnich (C),122,36
2026-06-10,Borussia Dortmund,70,34
2026-06-10,RB Leipzig,66,47
2026-06-10,Stuttgart,71,49
2026-06-10,Hoffenheim,65,52
2026-06-10,Bayer Leverkusen,68,47
2026-06-10,Friburgo,51,57
2026-06-10,Eintracht Fráncfort,61,65
2026-06-10,Augsburgo,45,61
2026-06-10,Mainz 05,44,53
2026-06-10,Unión Berlín,44,58
2026-06-10,Borussia Mönchengladbach,42,53
2026-06-10,Hamburgo,40,54
2026-06-10,Colonia,49,63
2026-06-10,Werder Bremen,37,60
2026-06-10,Wolfsburgo (D),45,69
2026-06-10,Heidenheim (D),41,72
2026-06-10,San Pauli (D),29,60
2026-06-11,Bayern de Múnich (C),122,36
2026-06-11,Borussia Dortmund,70,34
2026-06-11,RB Leipzig,66,47
2026-06-11,Stuttgart,71,49
2026-06-11,Hoffenheim,65,52
2026-06-11,Bayer Leverkusen,68,47
2026-06-11,Friburgo,51,57
2026-06-11,Eintracht Fráncfort,61,65
2026-06-11,Augsburgo,45,61
2026-06-11,Mainz 05,44,53
2026-06-11,Unión Berlín,44,58
2026-06-11,Borussia Mönchengladbach,42,53
2026-06-11,Hamburgo,40,54
2026-06-11,Colonia,49,63
2026-06-11,Werder Bremen,37,60
2026-06-11,Wolfsburgo (D),45,69
2026-06-11,Heidenheim (D),41,72
2026-06-11,San Pauli (D),29,60
2026-06-12,Bayern de Múnich (C),122,36
