fecha_captura,torneo,Pos.,Equipo,Pts.,PJ,G,E,P,GF,GC,Dif.,Clasificación 2026-27,Zona
2026-06-07,LaLiga 2025-26,1,F. C. Barcelona (C),94,38,31,1,6,95,36,+59,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-07,LaLiga 2025-26,2,Real Madrid C. F.,86,38,27,5,6,77,35,+42,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-07,LaLiga 2025-26,3,Villarreal C. F.,72,38,22,6,10,72,46,+26,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-07,LaLiga 2025-26,4,Atlético de Madrid,69,38,21,6,11,62,44,+18,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-07,LaLiga 2025-26,5,Real Betis Balompié[a],60,38,15,15,8,59,48,+11,Fase de liga de la Liga de Campeones,Internacional
2026-06-07,LaLiga 2025-26,6,R. C. Celta de Vigo,54,38,14,12,12,53,48,+5,Fase de liga de la Liga Europa,Internacional
2026-06-07,LaLiga 2025-26,7,Getafe C. F.,51,38,15,6,17,32,38,−6,Ronda de Play-Off de la Liga Conferencia,Zona media
2026-06-07,LaLiga 2025-26,8,Rayo Vallecano,50,38,12,14,12,41,44,−3,,Zona media
2026-06-07,LaLiga 2025-26,9,Valencia C. F.,49,38,13,10,15,46,55,−9,,Zona media
2026-06-07,LaLiga 2025-26,10,Real Sociedad[b],46,38,11,13,14,59,61,−2,Fase de liga de la Liga Europa,Zona media
2026-06-07,LaLiga 2025-26,11,R. C. D. Espanyol,46,38,12,10,16,43,55,−12,,Zona media
2026-06-07,LaLiga 2025-26,12,Athletic Club,45,38,13,6,19,43,58,−15,,Zona media
2026-06-07,LaLiga 2025-26,13,Sevilla F. C.,43,38,12,7,19,46,60,−14,,Zona media
2026-06-07,LaLiga 2025-26,14,Deportivo Alavés,43,38,11,10,17,44,56,−12,,Zona media
2026-06-07,LaLiga 2025-26,15,Elche C. F.,43,38,10,13,15,49,57,−8,,Zona media
2026-06-07,LaLiga 2025-26,16,Levante U. D.,42,38,11,9,18,47,61,−14,,Zona media
2026-06-07,LaLiga 2025-26,17,C. A. Osasuna,42,38,11,9,18,44,50,−6,,Zona media
2026-06-07,LaLiga 2025-26,18,R. C. D. Mallorca (D),42,38,11,9,18,47,57,−10,Descenso a Segunda División,Zona media
2026-06-07,LaLiga 2025-26,19,Girona F. C. (D),41,38,9,14,15,39,55,−16,Descenso a Segunda División,Descenso
2026-06-07,LaLiga 2025-26,20,Real Oviedo (D),29,38,6,11,21,26,60,−34,Descenso a Segunda División,Descenso
2026-06-08,LaLiga 2025-26,1,F. C. Barcelona (C),94,38,31,1,6,95,36,+59,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-08,LaLiga 2025-26,2,Real Madrid C. F.,86,38,27,5,6,77,35,+42,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-08,LaLiga 2025-26,3,Villarreal C. F.,72,38,22,6,10,72,46,+26,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-08,LaLiga 2025-26,4,Atlético de Madrid,69,38,21,6,11,62,44,+18,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-08,LaLiga 2025-26,5,Real Betis Balompié[a],60,38,15,15,8,59,48,+11,Fase de liga de la Liga de Campeones,Internacional
2026-06-08,LaLiga 2025-26,6,R. C. Celta de Vigo,54,38,14,12,12,53,48,+5,Fase de liga de la Liga Europa,Internacional
2026-06-08,LaLiga 2025-26,7,Getafe C. F.,51,38,15,6,17,32,38,−6,Ronda de Play-Off de la Liga Conferencia,Zona media
2026-06-08,LaLiga 2025-26,8,Rayo Vallecano,50,38,12,14,12,41,44,−3,,Zona media
2026-06-08,LaLiga 2025-26,9,Valencia C. F.,49,38,13,10,15,46,55,−9,,Zona media
2026-06-08,LaLiga 2025-26,10,Real Sociedad[b],46,38,11,13,14,59,61,−2,Fase de liga de la Liga Europa,Zona media
2026-06-08,LaLiga 2025-26,11,R. C. D. Espanyol,46,38,12,10,16,43,55,−12,,Zona media
2026-06-08,LaLiga 2025-26,12,Athletic Club,45,38,13,6,19,43,58,−15,,Zona media
2026-06-08,LaLiga 2025-26,13,Sevilla F. C.,43,38,12,7,19,46,60,−14,,Zona media
2026-06-08,LaLiga 2025-26,14,Deportivo Alavés,43,38,11,10,17,44,56,−12,,Zona media
2026-06-08,LaLiga 2025-26,15,Elche C. F.,43,38,10,13,15,49,57,−8,,Zona media
2026-06-08,LaLiga 2025-26,16,Levante U. D.,42,38,11,9,18,47,61,−14,,Zona media
2026-06-08,LaLiga 2025-26,17,C. A. Osasuna,42,38,11,9,18,44,50,−6,,Zona media
2026-06-08,LaLiga 2025-26,18,R. C. D. Mallorca (D),42,38,11,9,18,47,57,−10,Descenso a Segunda División,Zona media
2026-06-08,LaLiga 2025-26,19,Girona F. C. (D),41,38,9,14,15,39,55,−16,Descenso a Segunda División,Descenso
2026-06-08,LaLiga 2025-26,20,Real Oviedo (D),29,38,6,11,21,26,60,−34,Descenso a Segunda División,Descenso
2026-06-09,LaLiga 2025-26,1,F. C. Barcelona (C),94,38,31,1,6,95,36,+59,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-09,LaLiga 2025-26,2,Real Madrid C. F.,86,38,27,5,6,77,35,+42,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-09,LaLiga 2025-26,3,Villarreal C. F.,72,38,22,6,10,72,46,+26,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-09,LaLiga 2025-26,4,Atlético de Madrid,69,38,21,6,11,62,44,+18,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-09,LaLiga 2025-26,5,Real Betis Balompié[a],60,38,15,15,8,59,48,+11,Fase de liga de la Liga de Campeones,Internacional
2026-06-09,LaLiga 2025-26,6,R. C. Celta de Vigo,54,38,14,12,12,53,48,+5,Fase de liga de la Liga Europa,Internacional
2026-06-09,LaLiga 2025-26,7,Getafe C. F.,51,38,15,6,17,32,38,−6,Ronda de Play-Off de la Liga Conferencia,Zona media
2026-06-09,LaLiga 2025-26,8,Rayo Vallecano,50,38,12,14,12,41,44,−3,,Zona media
2026-06-09,LaLiga 2025-26,9,Valencia C. F.,49,38,13,10,15,46,55,−9,,Zona media
2026-06-09,LaLiga 2025-26,10,Real Sociedad[b],46,38,11,13,14,59,61,−2,Fase de liga de la Liga Europa,Zona media
2026-06-09,LaLiga 2025-26,11,R. C. D. Espanyol,46,38,12,10,16,43,55,−12,,Zona media
2026-06-09,LaLiga 2025-26,12,Athletic Club,45,38,13,6,19,43,58,−15,,Zona media
2026-06-09,LaLiga 2025-26,13,Sevilla F. C.,43,38,12,7,19,46,60,−14,,Zona media
2026-06-09,LaLiga 2025-26,14,Deportivo Alavés,43,38,11,10,17,44,56,−12,,Zona media
2026-06-09,LaLiga 2025-26,15,Elche C. F.,43,38,10,13,15,49,57,−8,,Zona media
2026-06-09,LaLiga 2025-26,16,Levante U. D.,42,38,11,9,18,47,61,−14,,Zona media
2026-06-09,LaLiga 2025-26,17,C. A. Osasuna,42,38,11,9,18,44,50,−6,,Zona media
2026-06-09,LaLiga 2025-26,18,R. C. D. Mallorca (D),42,38,11,9,18,47,57,−10,Descenso a Segunda División,Zona media
2026-06-09,LaLiga 2025-26,19,Girona F. C. (D),41,38,9,14,15,39,55,−16,Descenso a Segunda División,Descenso
2026-06-09,LaLiga 2025-26,20,Real Oviedo (D),29,38,6,11,21,26,60,−34,Descenso a Segunda División,Descenso
2026-06-10,LaLiga 2025-26,1,F. C. Barcelona (C),94,38,31,1,6,95,36,+59,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-10,LaLiga 2025-26,2,Real Madrid C. F.,86,38,27,5,6,77,35,+42,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-10,LaLiga 2025-26,3,Villarreal C. F.,72,38,22,6,10,72,46,+26,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-10,LaLiga 2025-26,4,Atlético de Madrid,69,38,21,6,11,62,44,+18,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-10,LaLiga 2025-26,5,Real Betis Balompié[a],60,38,15,15,8,59,48,+11,Fase de liga de la Liga de Campeones,Internacional
2026-06-10,LaLiga 2025-26,6,R. C. Celta de Vigo,54,38,14,12,12,53,48,+5,Fase de liga de la Liga Europa,Internacional
2026-06-10,LaLiga 2025-26,7,Getafe C. F.,51,38,15,6,17,32,38,−6,Ronda de Play-Off de la Liga Conferencia,Zona media
2026-06-10,LaLiga 2025-26,8,Rayo Vallecano,50,38,12,14,12,41,44,−3,,Zona media
2026-06-10,LaLiga 2025-26,9,Valencia C. F.,49,38,13,10,15,46,55,−9,,Zona media
2026-06-10,LaLiga 2025-26,10,Real Sociedad[b],46,38,11,13,14,59,61,−2,Fase de liga de la Liga Europa,Zona media
2026-06-10,LaLiga 2025-26,11,R. C. D. Espanyol,46,38,12,10,16,43,55,−12,,Zona media
2026-06-10,LaLiga 2025-26,12,Athletic Club,45,38,13,6,19,43,58,−15,,Zona media
2026-06-10,LaLiga 2025-26,13,Sevilla F. C.,43,38,12,7,19,46,60,−14,,Zona media
2026-06-10,LaLiga 2025-26,14,Deportivo Alavés,43,38,11,10,17,44,56,−12,,Zona media
2026-06-10,LaLiga 2025-26,15,Elche C. F.,43,38,10,13,15,49,57,−8,,Zona media
2026-06-10,LaLiga 2025-26,16,Levante U. D.,42,38,11,9,18,47,61,−14,,Zona media
2026-06-10,LaLiga 2025-26,17,C. A. Osasuna,42,38,11,9,18,44,50,−6,,Zona media
2026-06-10,LaLiga 2025-26,18,R. C. D. Mallorca (D),42,38,11,9,18,47,57,−10,Descenso a Segunda División,Zona media
2026-06-10,LaLiga 2025-26,19,Girona F. C. (D),41,38,9,14,15,39,55,−16,Descenso a Segunda División,Descenso
2026-06-10,LaLiga 2025-26,20,Real Oviedo (D),29,38,6,11,21,26,60,−34,Descenso a Segunda División,Descenso
