fecha_captura,Equipo,GF,GC
2026-06-07,Paris Saint-Germain (C),74,29
2026-06-07,R. C. Lens,66,35
2026-06-07,Lille O. S. C.,52,36
2026-06-07,Olympique de Lyon,53,40
2026-06-07,Olympique de Marsella,63,45
2026-06-07,Stade Rennes,58,50
2026-06-07,A. S. Monaco,60,54
2026-06-07,Racing Estrasburgo,58,47
2026-06-07,F. C. Lorient,48,51
2026-06-07,Toulouse F. C.,47,46
2026-06-07,Paris F. C.,47,50
2026-06-07,Stade Brest,43,55
2026-06-07,Angers S. C. O.,29,48
2026-06-07,Le Havre Athletic,32,44
2026-06-07,A. J. Auxerre,34,44
2026-06-07,O. G. C. Niza (O),37,60
2026-06-07,F. C. Nantes (D),29,52
2026-06-07,F. C. Metz (D),32,76
2026-06-08,Paris Saint-Germain (C),74,29
2026-06-08,R. C. Lens,66,35
2026-06-08,Lille O. S. C.,52,36
2026-06-08,Olympique de Lyon,53,40
2026-06-08,Olympique de Marsella,63,45
2026-06-08,Stade Rennes,58,50
2026-06-08,A. S. Monaco,60,54
2026-06-08,Racing Estrasburgo,58,47
2026-06-08,F. C. Lorient,48,51
2026-06-08,Toulouse F. C.,47,46
2026-06-08,Paris F. C.,47,50
2026-06-08,Stade Brest,43,55
2026-06-08,Angers S. C. O.,29,48
2026-06-08,Le Havre Athletic,32,44
2026-06-08,A. J. Auxerre,34,44
2026-06-08,O. G. C. Niza (O),37,60
2026-06-08,F. C. Nantes (D),29,52
2026-06-08,F. C. Metz (D),32,76
2026-06-09,Paris Saint-Germain (C),74,29
2026-06-09,R. C. Lens,66,35
2026-06-09,Lille O. S. C.,52,36
2026-06-09,Olympique de Lyon,53,40
2026-06-09,Olympique de Marsella,63,45
2026-06-09,Stade Rennes,58,50
2026-06-09,A. S. Monaco,60,54
2026-06-09,Racing Estrasburgo,58,47
2026-06-09,F. C. Lorient,48,51
2026-06-09,Toulouse F. C.,47,46
2026-06-09,Paris F. C.,47,50
2026-06-09,Stade Brest,43,55
2026-06-09,Angers S. C. O.,29,48
2026-06-09,Le Havre Athletic,32,44
2026-06-09,A. J. Auxerre,34,44
2026-06-09,O. G. C. Niza (O),37,60
2026-06-09,F. C. Nantes (D),29,52
2026-06-09,F. C. Metz (D),32,76
2026-06-10,Paris Saint-Germain (C),74,29
2026-06-10,R. C. Lens,66,35
2026-06-10,Lille O. S. C.,52,36
2026-06-10,Olympique de Lyon,53,40
2026-06-10,Olympique de Marsella,63,45
2026-06-10,Stade Rennes,58,50
2026-06-10,A. S. Monaco,60,54
2026-06-10,Racing Estrasburgo,58,47
2026-06-10,F. C. Lorient,48,51
2026-06-10,Toulouse F. C.,47,46
2026-06-10,Paris F. C.,47,50
2026-06-10,Stade Brest,43,55
2026-06-10,Angers S. C. O.,29,48
2026-06-10,Le Havre Athletic,32,44
2026-06-10,A. J. Auxerre,34,44
2026-06-10,O. G. C. Niza (O),37,60
2026-06-10,F. C. Nantes (D),29,52
2026-06-10,F. C. Metz (D),32,76
2026-06-11,Paris Saint-Germain (C),74,29
2026-06-11,R. C. Lens,66,35
2026-06-11,Lille O. S. C.,52,36
2026-06-11,Olympique de Lyon,53,40
2026-06-11,Olympique de Marsella,63,45
2026-06-11,Stade Rennes,58,50
2026-06-11,A. S. Monaco,60,54
2026-06-11,Racing Estrasburgo,58,47
2026-06-11,F. C. Lorient,48,51
2026-06-11,Toulouse F. C.,47,46
2026-06-11,Paris F. C.,47,50
2026-06-11,Stade Brest,43,55
2026-06-11,Angers S. C. O.,29,48
2026-06-11,Le Havre Athletic,32,44
2026-06-11,A. J. Auxerre,34,44
2026-06-11,O. G. C. Niza (O),37,60
2026-06-11,F. C. Nantes (D),29,52
2026-06-11,F. C. Metz (D),32,76
2026-06-12,Paris Saint-Germain (C),74,29
2026-06-12,R. C. Lens,66,35
2026-06-12,Lille O. S. C.,52,36
2026-06-12,Olympique de Lyon,53,40
2026-06-12,Olympique de Marsella,63,45
2026-06-12,Stade Rennes,58,50
2026-06-12,A. S. Monaco,60,54
2026-06-12,Racing Estrasburgo,58,47
2026-06-12,F. C. Lorient,48,51
2026-06-12,Toulouse F. C.,47,46
2026-06-12,Paris F. C.,47,50
2026-06-12,Stade Brest,43,55
2026-06-12,Angers S. C. O.,29,48
2026-06-12,Le Havre Athletic,32,44
2026-06-12,A. J. Auxerre,34,44
2026-06-12,O. G. C. Niza (O),37,60
2026-06-12,F. C. Nantes (D),29,52
2026-06-12,F. C. Metz (D),32,76
2026-06-13,Paris Saint-Germain (C),74,29
2026-06-13,R. C. Lens,66,35
2026-06-13,Lille O. S. C.,52,36
2026-06-13,Olympique de Lyon,53,40
2026-06-13,Olympique de Marsella,63,45
2026-06-13,Stade Rennes,58,50
2026-06-13,A. S. Monaco,60,54
2026-06-13,Racing Estrasburgo,58,47
2026-06-13,F. C. Lorient,48,51
2026-06-13,Toulouse F. C.,47,46
2026-06-13,Paris F. C.,47,50
2026-06-13,Stade Brest,43,55
2026-06-13,Angers S. C. O.,29,48
2026-06-13,Le Havre Athletic,32,44
2026-06-13,A. J. Auxerre,34,44
2026-06-13,O. G. C. Niza (O),37,60
2026-06-13,F. C. Nantes (D),29,52
2026-06-13,F. C. Metz (D),32,76
2026-06-14,Paris Saint-Germain (C),74,29
2026-06-14,R. C. Lens,66,35
2026-06-14,Lille O. S. C.,52,36
2026-06-14,Olympique de Lyon,53,40
2026-06-14,Olympique de Marsella,63,45
2026-06-14,Stade Rennes,58,50
2026-06-14,A. S. Monaco,60,54
2026-06-14,Racing Estrasburgo,58,47
2026-06-14,F. C. Lorient,48,51
2026-06-14,Toulouse F. C.,47,46
2026-06-14,Paris F. C.,47,50
2026-06-14,Stade Brest,43,55
2026-06-14,Angers S. C. O.,29,48
2026-06-14,Le Havre Athletic,32,44
2026-06-14,A. J. Auxerre,34,44
2026-06-14,O. G. C. Niza (O),37,60
2026-06-14,F. C. Nantes (D),29,52
2026-06-14,F. C. Metz (D),32,76
2026-06-15,Paris Saint-Germain (C),74,29
2026-06-15,R. C. Lens,66,35
2026-06-15,Lille O. S. C.,52,36
2026-06-15,Olympique de Lyon,53,40
2026-06-15,Olympique de Marsella,63,45
2026-06-15,Stade Rennes,58,50
2026-06-15,A. S. Monaco,60,54
2026-06-15,Racing Estrasburgo,58,47
2026-06-15,F. C. Lorient,48,51
2026-06-15,Toulouse F. C.,47,46
2026-06-15,Paris F. C.,47,50
2026-06-15,Stade Brest,43,55
2026-06-15,Angers S. C. O.,29,48
2026-06-15,Le Havre Athletic,32,44
2026-06-15,A. J. Auxerre,34,44
2026-06-15,O. G. C. Niza (O),37,60
2026-06-15,F. C. Nantes (D),29,52
2026-06-15,F. C. Metz (D),32,76
2026-06-16,Paris Saint-Germain (C),74,29
2026-06-16,R. C. Lens,66,35
2026-06-16,Lille O. S. C.,52,36
2026-06-16,Olympique de Lyon,53,40
2026-06-16,Olympique de Marsella,63,45
2026-06-16,Stade Rennes,58,50
2026-06-16,A. S. Monaco,60,54
2026-06-16,Racing Estrasburgo,58,47
2026-06-16,F. C. Lorient,48,51
2026-06-16,Toulouse F. C.,47,46
2026-06-16,Paris F. C.,47,50
2026-06-16,Stade Brest,43,55
2026-06-16,Angers S. C. O.,29,48
2026-06-16,Le Havre Athletic,32,44
2026-06-16,A. J. Auxerre,34,44
2026-06-16,O. G. C. Niza (O),37,60
2026-06-16,F. C. Nantes (D),29,52
2026-06-16,F. C. Metz (D),32,76
2026-06-17,Paris Saint-Germain (C),74,29
2026-06-17,R. C. Lens,66,35
2026-06-17,Lille O. S. C.,52,36
2026-06-17,Olympique de Lyon,53,40
2026-06-17,Olympique de Marsella,63,45
2026-06-17,Stade Rennes,58,50
2026-06-17,A. S. Monaco,60,54
2026-06-17,Racing Estrasburgo,58,47
2026-06-17,F. C. Lorient,48,51
2026-06-17,Toulouse F. C.,47,46
2026-06-17,Paris F. C.,47,50
2026-06-17,Stade Brest,43,55
2026-06-17,Angers S. C. O.,29,48
2026-06-17,Le Havre Athletic,32,44
2026-06-17,A. J. Auxerre,34,44
2026-06-17,O. G. C. Niza (O),37,60
2026-06-17,F. C. Nantes (D),29,52
2026-06-17,F. C. Metz (D),32,76
2026-06-18,Paris Saint-Germain (C),74,29
2026-06-18,R. C. Lens,66,35
2026-06-18,Lille O. S. C.,52,36
2026-06-18,Olympique de Lyon,53,40
2026-06-18,Olympique de Marsella,63,45
2026-06-18,Stade Rennes,58,50
2026-06-18,A. S. Monaco,60,54
2026-06-18,Racing Estrasburgo,58,47
2026-06-18,F. C. Lorient,48,51
2026-06-18,Toulouse F. C.,47,46
2026-06-18,Paris F. C.,47,50
2026-06-18,Stade Brest,43,55
2026-06-18,Angers S. C. O.,29,48
2026-06-18,Le Havre Athletic,32,44
2026-06-18,A. J. Auxerre,34,44
2026-06-18,O. G. C. Niza (O),37,60
2026-06-18,F. C. Nantes (D),29,52
2026-06-18,F. C. Metz (D),32,76
2026-06-19,Paris Saint-Germain (C),74,29
2026-06-19,R. C. Lens,66,35
2026-06-19,Lille O. S. C.,52,36
2026-06-19,Olympique de Lyon,53,40
2026-06-19,Olympique de Marsella,63,45
2026-06-19,Stade Rennes,58,50
2026-06-19,A. S. Monaco,60,54
2026-06-19,Racing Estrasburgo,58,47
2026-06-19,F. C. Lorient,48,51
2026-06-19,Toulouse F. C.,47,46
2026-06-19,Paris F. C.,47,50
2026-06-19,Stade Brest,43,55
2026-06-19,Angers S. C. O.,29,48
2026-06-19,Le Havre Athletic,32,44
2026-06-19,A. J. Auxerre,34,44
2026-06-19,O. G. C. Niza (O),37,60
2026-06-19,F. C. Nantes (D),29,52
2026-06-19,F. C. Metz (D),32,76
2026-06-20,Paris Saint-Germain (C),74,29
2026-06-20,R. C. Lens,66,35
2026-06-20,Lille O. S. C.,52,36
2026-06-20,Olympique de Lyon,53,40
2026-06-20,Olympique de Marsella,63,45
2026-06-20,Stade Rennes,58,50
2026-06-20,A. S. Monaco,60,54
2026-06-20,Racing Estrasburgo,58,47
2026-06-20,F. C. Lorient,48,51
2026-06-20,Toulouse F. C.,47,46
2026-06-20,Paris F. C.,47,50
2026-06-20,Stade Brest,43,55
2026-06-20,Angers S. C. O.,29,48
2026-06-20,Le Havre Athletic,32,44
2026-06-20,A. J. Auxerre,34,44
2026-06-20,O. G. C. Niza (O),37,60
2026-06-20,F. C. Nantes (D),29,52
2026-06-20,F. C. Metz (D),32,76
