fecha_captura,Equipo,GF,GC
2026-06-07,Inter Milán (C),89,35
2026-06-07,Napoli,58,36
2026-06-07,Roma,59,31
2026-06-07,Como,65,29
2026-06-07,Milan,53,35
2026-06-07,Juventus,61,34
2026-06-07,Atalanta,51,36
2026-06-07,Bologna,49,46
2026-06-07,Lazio,41,40
2026-06-07,Udinese,45,48
2026-06-07,Sassuolo,46,50
2026-06-07,Parma,28,46
2026-06-07,Torino,44,63
2026-06-07,Cagliari,40,53
2026-06-07,Fiorentina,41,50
2026-06-07,Genoa,41,51
2026-06-07,Lecce,28,50
2026-06-07,Cremonese (D),32,57
2026-06-07,Hellas Verona (D),25,61
2026-06-07,Pisa (D),26,71
2026-06-08,Inter Milán (C),89,35
2026-06-08,Napoli,58,36
2026-06-08,Roma,59,31
2026-06-08,Como,65,29
2026-06-08,Milan,53,35
2026-06-08,Juventus,61,34
2026-06-08,Atalanta,51,36
2026-06-08,Bologna,49,46
2026-06-08,Lazio,41,40
2026-06-08,Udinese,45,48
2026-06-08,Sassuolo,46,50
2026-06-08,Parma,28,46
2026-06-08,Torino,44,63
2026-06-08,Cagliari,40,53
2026-06-08,Fiorentina,41,50
2026-06-08,Genoa,41,51
2026-06-08,Lecce,28,50
2026-06-08,Cremonese (D),32,57
2026-06-08,Hellas Verona (D),25,61
2026-06-08,Pisa (D),26,71
2026-06-09,Inter Milán (C),89,35
2026-06-09,Napoli,58,36
2026-06-09,Roma,59,31
2026-06-09,Como,65,29
2026-06-09,Milan,53,35
2026-06-09,Juventus,61,34
2026-06-09,Atalanta,51,36
2026-06-09,Bologna,49,46
2026-06-09,Lazio,41,40
2026-06-09,Udinese,45,48
2026-06-09,Sassuolo,46,50
2026-06-09,Parma,28,46
2026-06-09,Torino,44,63
2026-06-09,Cagliari,40,53
2026-06-09,Fiorentina,41,50
2026-06-09,Genoa,41,51
2026-06-09,Lecce,28,50
2026-06-09,Cremonese (D),32,57
2026-06-09,Hellas Verona (D),25,61
2026-06-09,Pisa (D),26,71
2026-06-10,Inter Milán (C),89,35
2026-06-10,Napoli,58,36
2026-06-10,Roma,59,31
2026-06-10,Como,65,29
2026-06-10,Milan,53,35
2026-06-10,Juventus,61,34
2026-06-10,Atalanta,51,36
2026-06-10,Bologna,49,46
2026-06-10,Lazio,41,40
2026-06-10,Udinese,45,48
2026-06-10,Sassuolo,46,50
2026-06-10,Parma,28,46
2026-06-10,Torino,44,63
2026-06-10,Cagliari,40,53
2026-06-10,Fiorentina,41,50
2026-06-10,Genoa,41,51
2026-06-10,Lecce,28,50
2026-06-10,Cremonese (D),32,57
2026-06-10,Hellas Verona (D),25,61
2026-06-10,Pisa (D),26,71
2026-06-11,Inter Milán (C),89,35
2026-06-11,Napoli,58,36
2026-06-11,Roma,59,31
2026-06-11,Como,65,29
2026-06-11,Milan,53,35
2026-06-11,Juventus,61,34
2026-06-11,Atalanta,51,36
2026-06-11,Bologna,49,46
2026-06-11,Lazio,41,40
2026-06-11,Udinese,45,48
2026-06-11,Sassuolo,46,50
2026-06-11,Parma,28,46
2026-06-11,Torino,44,63
2026-06-11,Cagliari,40,53
2026-06-11,Fiorentina,41,50
2026-06-11,Genoa,41,51
2026-06-11,Lecce,28,50
2026-06-11,Cremonese (D),32,57
2026-06-11,Hellas Verona (D),25,61
2026-06-11,Pisa (D),26,71
