liga,torneo,season,pos,jugador,equipo,goles,asistencias,partidos
chile,Primera División,2022,1,F. Zampedri,U. Catolica,18,,29
chile,Primera División,2022,2,J. Lucero,Colo Colo,15,5.0,26
chile,Primera División,2022,3,G. Lezcano,Cobresal,15,4.0,28
chile,Primera División,2022,4,L. Passerini,Union La Calera,12,7.0,26
chile,Primera División,2022,5,J. Abrigo,Coquimbo Unido,12,5.0,22
chile,Primera División,2022,6,A. Aravena,Nublense,11,3.0,30
chile,Primera División,2022,7,C. Waterman,Cobresal,11,1.0,24
chile,Primera División,2022,8,D. Coelho,Curico Unido,10,3.0,27
chile,Primera División,2022,9,L. Garate,Union Espanola,10,1.0,27
chile,Primera División,2022,10,G. Costa,Colo Colo,10,4.0,24
chile,Primera División,2022,11,C. Palacios,Universidad de Chile,10,1.0,20
chile,Primera División,2022,12,L. Palacios,A. Italiano,9,1.0,14
chile,Primera División,2022,13,P. Rubio,Nublense,8,3.0,28
chile,Primera División,2022,14,R. Holgado,Curico Unido,8,1.0,26
chile,Primera División,2022,15,N. Guerra,Nublense,8,3.0,23
chile,Primera División,2022,16,S. Sáez,Union La Calera,7,3.0,29
chile,Primera División,2022,17,M. Salas,Palestino,7,3.0,12
chile,Primera División,2022,18,M. Campos,Everton de Vina,7,2.0,23
chile,Primera División,2022,19,B. Barticciotto,Palestino,7,1.0,14
chile,Primera División,2022,20,D. Osorio,Universidad de Chile,7,,27
chile,Primera División,2023,1,F. Zampedri,U. Catolica,17,2.0,26
chile,Primera División,2023,2,R. Holgado,Coquimbo Unido,16,3.0,27
chile,Primera División,2023,3,L. Garate,Union Espanola,14,8.0,30
chile,Primera División,2023,4,P. Rubio,Nublense,14,2.0,24
chile,Primera División,2023,5,A. Aravena,U. Catolica,13,4.0,28
chile,Primera División,2023,6,S. Sáez,Everton de Vina,12,4.0,28
chile,Primera División,2023,7,C. Martínez,Huachipato,12,7.0,27
chile,Primera División,2023,8,R. Piñeiro,Union Espanola,11,3.0,21
chile,Primera División,2023,9,G. Lezcano,Cobresal,10,6.0,28
chile,Primera División,2023,10,M. Dávila,Palestino,10,3.0,27
chile,Primera División,2023,11,L. Fernández,Universidad de Chile,10,3.0,24
chile,Primera División,2023,12,G. Sosa,A. Italiano,10,3.0,26
chile,Primera División,2023,13,C. Waterman,Cobresal,10,2.0,25
chile,Primera División,2023,14,C. Palacios,Universidad de Chile,9,,24
chile,Primera División,2023,15,M. Salas,Palestino,8,3.0,25
chile,Primera División,2023,16,G. Ríos,A. Italiano,8,2.0,24
chile,Primera División,2023,17,D. Coelho,Curico Unido,8,1.0,30
