fecha_captura,Equipo,GF,GC
2026-06-17,Paris Saint-Germain (C),74,29
2026-06-17,R. C. Lens,66,35
2026-06-17,Lille O. S. C.,52,36
2026-06-17,Olympique de Lyon,53,40
2026-06-17,Olympique de Marsella,63,45
2026-06-17,Stade Rennes,58,50
2026-06-17,A. S. Monaco,60,54
2026-06-17,Racing Estrasburgo,58,47
2026-06-17,F. C. Lorient,48,51
2026-06-17,Toulouse F. C.,47,46
2026-06-17,Paris F. C.,47,50
2026-06-17,Stade Brest,43,55
2026-06-17,Angers S. C. O.,29,48
2026-06-17,Le Havre Athletic,32,44
2026-06-17,A. J. Auxerre,34,44
2026-06-17,O. G. C. Niza (O),37,60
2026-06-17,F. C. Nantes (D),29,52
2026-06-17,F. C. Metz (D),32,76
