fecha_captura,torneo,Pos.,Equipo,Pts.,PJ,G,E,P,GF,GC,Dif.,Clasificación 2026-27,Zona
2026-06-20,Ligue 1 2025-26,1,Paris Saint-Germain (C),76,34,24,4,6,74,29,+45,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-20,Ligue 1 2025-26,2,R. C. Lens,70,34,22,4,8,66,35,+31,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-20,Ligue 1 2025-26,3,Lille O. S. C.,61,34,18,7,9,52,36,+16,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-06-20,Ligue 1 2025-26,4,Olympique de Lyon,60,34,18,6,10,53,40,+13,Tercera ronda clasificatoria de la Liga de Campeones,Libertadores/Champions
2026-06-20,Ligue 1 2025-26,5,Olympique de Marsella,59,34,18,5,11,63,45,+18,Fase de Liga de la Liga Europa[a],Internacional
2026-06-20,Ligue 1 2025-26,6,Stade Rennes,59,34,17,8,9,58,50,+8,Fase de Liga de la Liga Europa[a],Internacional
2026-06-20,Ligue 1 2025-26,7,A. S. Monaco,54,34,16,6,12,60,54,+6,Ronda de Play-Off de la Liga Conferencia,Zona media
2026-06-20,Ligue 1 2025-26,8,Racing Estrasburgo,53,34,15,8,11,58,47,+11,,Zona media
2026-06-20,Ligue 1 2025-26,9,F. C. Lorient,45,34,11,12,11,48,51,−3,,Zona media
2026-06-20,Ligue 1 2025-26,10,Toulouse F. C.,44,33,12,8,13,47,46,+1,,Zona media
2026-06-20,Ligue 1 2025-26,11,Paris F. C.,44,34,11,11,12,47,50,−3,,Zona media
2026-06-20,Ligue 1 2025-26,12,Stade Brest,39,34,10,9,15,43,55,−12,,Zona media
2026-06-20,Ligue 1 2025-26,13,Angers S. C. O.,36,34,9,9,16,29,48,−19,,Zona media
2026-06-20,Ligue 1 2025-26,14,Le Havre Athletic,35,34,7,14,13,32,44,−12,,Zona media
2026-06-20,Ligue 1 2025-26,15,A. J. Auxerre,34,34,8,10,16,34,44,−10,,Zona media
2026-06-20,Ligue 1 2025-26,16,O. G. C. Niza (O),32,34,7,11,16,37,60,−23,Play-offs de promoción de categoría,Zona media
2026-06-20,Ligue 1 2025-26,17,F. C. Nantes (D),23,33,5,8,20,29,52,−23,Descenso a la Ligue 2,Descenso
2026-06-20,Ligue 1 2025-26,18,F. C. Metz (D),17,34,3,8,23,32,76,−44,Descenso a la Ligue 2,Descenso
