fecha_captura,Equipo,GF,GC
2026-06-17,Inter Milán (C),89,35
2026-06-17,Napoli,58,36
2026-06-17,Roma,59,31
2026-06-17,Como,65,29
2026-06-17,Milan,53,35
2026-06-17,Juventus,61,34
2026-06-17,Atalanta,51,36
2026-06-17,Bologna,49,46
2026-06-17,Lazio,41,40
2026-06-17,Udinese,45,48
2026-06-17,Sassuolo,46,50
2026-06-17,Parma,28,46
2026-06-17,Torino,44,63
2026-06-17,Cagliari,40,53
2026-06-17,Fiorentina,41,50
2026-06-17,Genoa,41,51
2026-06-17,Lecce,28,50
2026-06-17,Cremonese (D),32,57
2026-06-17,Hellas Verona (D),25,61
2026-06-17,Pisa (D),26,71
