fecha_captura,torneo,Pos.,Equipo,Pts.,PJ,G,E,P,GF,GC,Dif.,Clasificación 2026-27,Zona
2026-07-16,Serie A 2025-26,1,Inter Milán (C),87,38,27,6,5,89,35,+54,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-07-16,Serie A 2025-26,2,Napoli,76,38,23,7,8,58,36,+22,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-07-16,Serie A 2025-26,3,Roma,73,38,23,4,11,59,31,+28,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-07-16,Serie A 2025-26,4,Como,71,38,20,11,7,65,29,+36,Fase de liga de la Liga de Campeones,Libertadores/Champions
2026-07-16,Serie A 2025-26,5,Milan,70,38,20,10,8,53,35,+18,Fase de Liga de la Liga Europa[a],Internacional
2026-07-16,Serie A 2025-26,6,Juventus,69,38,19,12,7,61,34,+27,Fase de Liga de la Liga Europa[a],Internacional
2026-07-16,Serie A 2025-26,7,Atalanta,59,38,15,14,9,51,36,+15,Ronda de Play-Off de la Liga Conferencia,Zona media
2026-07-16,Serie A 2025-26,8,Bologna,56,38,16,8,14,49,46,+3,,Zona media
2026-07-16,Serie A 2025-26,9,Lazio,54,38,14,12,12,41,40,+1,,Zona media
2026-07-16,Serie A 2025-26,10,Udinese,50,38,14,8,16,45,48,−3,,Zona media
2026-07-16,Serie A 2025-26,11,Sassuolo,49,38,14,7,17,46,50,−4,,Zona media
2026-07-16,Serie A 2025-26,12,Parma,45,38,11,12,15,28,46,−18,,Zona media
2026-07-16,Serie A 2025-26,13,Torino,45,38,12,9,17,44,63,−19,,Zona media
2026-07-16,Serie A 2025-26,14,Cagliari,43,38,11,10,17,40,53,−13,,Zona media
2026-07-16,Serie A 2025-26,15,Fiorentina,42,38,9,15,14,41,50,−9,,Zona media
2026-07-16,Serie A 2025-26,16,Genoa,41,38,10,11,17,41,51,−10,,Zona media
2026-07-16,Serie A 2025-26,17,Lecce,38,38,10,8,20,28,50,−22,,Zona media
2026-07-16,Serie A 2025-26,18,Cremonese (D),34,38,8,10,20,32,57,−25,Descenso a la Serie BKT,Zona media
2026-07-16,Serie A 2025-26,19,Hellas Verona (D),21,38,3,12,23,25,61,−36,Descenso a la Serie BKT,Descenso
2026-07-16,Serie A 2025-26,20,Pisa (D),18,38,2,12,24,26,71,−45,Descenso a la Serie BKT,Descenso
